symbol,chg_corr,chg_t,lvl_corr,lvl_coint_p,n,rank_chg,rank_lvl_coint
UNIT,-0.0031664945492537178,-0.02902154741460187,-0.6579702770409688,0.20146476071936775,86,579,420.0
ADT,-0.003188515941262408,-0.029223379862896585,0.5201255965285028,0.118585137297812,86,580,247.0
MCHP,-0.0033221263377514643,-0.030447958842173807,0.731751533083431,0.033022728851235646,86,581,65.0
FLEX,-0.003435395679685356,-0.03148610728774227,-0.203962251012766,0.44245117087365426,86,582,893.0
DBX,-0.004751121149862974,-0.04354523608969949,-0.3526555994778431,0.406032939503969,86,583,833.0
CM,-0.005300743631650597,-0.04858280040490446,-0.614893275999637,0.2611338485311685,86,584,545.0
ZM,-0.005501615599299523,-0.05042390297210907,-0.46690447359853754,0.152393210942319,86,585,320.0
APO,-0.005518246901270488,-0.050576338314192004,0.4609727308008385,0.4716551088160145,86,586,948.0
KHC,-0.0060911994770221686,-0.05582780104405172,-0.747003003842284,0.029900263884360304,86,587,59.0
IONQ,-0.006709685587433073,-0.06149666848945192,0.2203327453741119,0.5647527564607071,86,588,1141.0
TRU,-0.006774392191466701,-0.06208975474938067,-0.6806137579628881,0.19036196844295922,86,589,395.0
FULC,-0.006776711174142475,-0.062111010040343,0.12234279311551352,0.5323865016571384,86,590,1056.0
A,-0.006792095207189056,-0.062252016767507704,-0.6312556411216943,0.014908352065603859,86,591,32.0
STLA,-0.0068082654722741,-0.062400229975526515,0.7028555156490434,0.11135378477927421,86,592,223.0
SNY,-0.006944698791832598,-0.06365075070396703,-0.6429900253787927,0.15645981315984636,86,593,324.0
DG,-0.0071040385329029735,-0.06511123165064885,0.5356205774118807,0.27122654952027314,86,594,579.0
AI,-0.007220456751390418,-0.06617830435609467,0.7015942743624964,0.08599014882242584,86,595,175.0
SMR,-0.007697648319039614,-0.07055220246394368,0.5658104581702367,0.3322843487110958,86,596,695.0
PBR-A,-0.008415350419656374,-0.07713069176905872,0.17928646726190117,0.5239912037039386,86,597,1041.0
FLUT,-0.008588816092388924,-0.0787207033254513,-0.4543438968615241,0.36329979211409574,86,598,755.0
BMRN,-0.00859260129785548,-0.07875539914736523,0.06020319617437629,0.5512436250269839,86,599,1101.0
THC,-0.008626984089680375,-0.07907055768240386,-0.7600040231503783,0.05467755597197685,86,600,108.0
U,-0.008796858418660698,-0.08062765889732539,-0.32686887480384785,0.38521313776888366,86,601,798.0
CAT,-0.008987746585575005,-0.08237738538380618,-0.3154265760819373,0.4085959862000975,86,602,839.0
AIG,-0.009144975376516306,-0.08381858875444015,0.5548070775840072,0.10267875640069113,86,603,204.0
CHD,-0.009263997506065763,-0.0849095832372923,0.19862849372446986,0.5985268304283311,86,604,1250.0
GTLB,-0.009616357272639282,-0.08813944563540438,0.25129038651464597,0.7992921609525669,86,605,1302.0
SMTC,-0.009621350092384231,-0.08818521193569082,-0.46957436105323225,0.29970550180084565,86,606,627.0
CIVI,-0.009638294706660581,-0.08834053349554492,0.7475437982304033,0.1342992087843719,86,607,287.0
