k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,ticker,bar_freq
5,x_leads_y,0.005757986461139911,6.644305033667028,3.046510714507599e-11,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
6,x_leads_y,0.01527908746547511,2.508863888272638,0.012112014499305405,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
7,x_leads_y,0.008249472965073711,0.706767208987403,0.47971115534641917,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
8,x_leads_y,-0.006081003239705987,-0.72157499614556,0.4705558164890645,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
9,x_leads_y,-0.011353574092457996,-3.7245876102292477,0.00019563476391971785,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
10,x_leads_y,-0.0056555005636665535,-10.591140123324552,3.275774397369748e-26,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-3,y_leads_x,-0.0014216193524367253,-0.3777482845098334,0.7056175949175638,0.6079564709708967,25,8,3,11,medium,KXAAAGASM-24NOV30-US-3.30,600s
-2,y_leads_x,-0.012679724772594868,-3.0388016081020472,0.002375212148895644,0.6079564709708967,25,8,3,11,medium,KXAAAGASM-24NOV30-US-3.30,600s
-1,y_leads_x,-0.017831692530390214,-1.1980045759267206,0.2309152355595916,0.6079564709708967,25,8,3,11,medium,KXAAAGASM-24NOV30-US-3.30,600s
1,x_leads_y,-0.01985145839835116,-1.3465212340620878,0.17813447708928165,0.6079564709708967,25,8,3,11,medium,KXAAAGASM-24NOV30-US-3.30,600s
2,x_leads_y,-0.015339773170781128,-7.1747485178581085,7.24402202620185e-13,0.6079564709708967,25,8,3,11,medium,KXAAAGASM-24NOV30-US-3.30,600s
3,x_leads_y,-0.003963783850431589,-1.0090629706567062,0.3129444352943044,0.6079564709708967,25,8,3,11,medium,KXAAAGASM-24NOV30-US-3.30,600s
-10,y_leads_x,-0.004172693136307051,-1.9370174076685964,0.05274321550361057,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-9,y_leads_x,-0.009250641440593737,-1.4088527510708293,0.15887871320115576,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-8,y_leads_x,-0.002554209240177078,-0.4068568194248196,0.6841131520728272,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-7,y_leads_x,0.012772133403715016,4.875971778389511,1.0827408886537103e-06,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-6,y_leads_x,0.019726979284955197,2.11011566472292,0.03484839432904222,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-5,y_leads_x,0.008520663101861468,0.7433966078655909,0.45724159739846726,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-4,y_leads_x,-9.512591429750895e-05,-0.01260176540369115,0.9899455120625464,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-3,y_leads_x,-0.0008556399941194517,-0.09937652151713727,0.920839323588886,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-2,y_leads_x,-0.011995069617880712,-1.194994664133106,0.23208911486966521,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-1,y_leads_x,-0.038745104265511206,-250.91354309380478,0.0,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
1,x_leads_y,-0.03839108270064085,-62.70089909049131,0.0,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
2,x_leads_y,-0.010566385120788913,-1.1610829965416385,0.24560814882139836,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
3,x_leads_y,-0.0005867244607548183,-0.08057748934412358,0.9357779688821014,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
4,x_leads_y,-0.0008203923926523617,-0.6236413589544831,0.5328631424492285,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
5,x_leads_y,0.00585619043392714,6.50151215247172,7.951661143231102e-11,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
6,x_leads_y,0.015530659848052167,2.359854348514899,0.01828211145635619,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
7,x_leads_y,0.008398685092649972,0.6671183252001488,0.5046965557078542,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
8,x_leads_y,-0.006156549802946454,-0.6764532560142181,0.4987529144831263,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
9,x_leads_y,-0.011521579735032511,-3.4922918284810955,0.0004788947203196349,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
10,x_leads_y,-0.005741633417415283,-10.024014496805147,1.1954622284160752e-23,0.8597782695384923,65,3,10,42,high,KXECKH276,600s
-10,y_leads_x,-0.004436560868181837,-3.0874832884625945,0.002018591212437428,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-9,y_leads_x,-0.01004383588211081,-1.8698826242222741,0.06150011922572962,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-8,y_leads_x,-0.0040209060568001205,-0.5784782365835991,0.5629412866214651,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
-7,y_leads_x,0.010102242975416849,3.5642746957519944,0.00036486369698551725,0.8752049345033732,58,3,10,35,high,KXECKH276,600s
