k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,ticker,bar_freq
-1,y_leads_x,-0.037963392529198066,-35.18961134242779,2.8830212727217907e-271,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
1,x_leads_y,-0.03845472490721778,-55.22493528398627,0.0,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
2,x_leads_y,-0.010137955192552936,-1.0518870839743746,0.29285135845272503,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
3,x_leads_y,-1.3681633987629518e-05,-0.00188387531350656,0.9984968858619641,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
4,x_leads_y,-0.00048373254968778895,-0.3107722692158055,0.7559737524888306,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
5,x_leads_y,0.00648958044755372,5.527428269619958,3.2495902012874825e-08,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
6,x_leads_y,0.01663717236399596,3.3805447936792277,0.0007234228239478332,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
7,x_leads_y,0.008898945932867434,0.8116240651122111,0.4170073782322048,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
8,x_leads_y,-0.006812427046381465,-0.7533194549904522,0.45125797067615225,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
9,x_leads_y,-0.012733204540784583,-2.696170295039786,0.007014179715262363,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
10,x_leads_y,-0.006323426844348509,-4.313952660665,1.6036129884465806e-05,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-10,y_leads_x,-0.004751178556805222,-3.87348048849739,0.00010729200017047937,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-9,y_leads_x,-0.011050740815276268,-2.2741799484740675,0.022955169333053912,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-8,y_leads_x,-0.0057402106857374294,-0.8794359023051014,0.37916497288173456,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-7,y_leads_x,0.008783789846340026,3.266199284057365,0.0010900151068454211,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-6,y_leads_x,0.016201254916069073,27.50505827330334,1.5273456547524756e-166,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-5,y_leads_x,0.00482998688135195,1.4772868761626503,0.13959875442080727,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-4,y_leads_x,-0.00516199162427856,-4.642798635152857,3.4372130556011947e-06,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-3,y_leads_x,-0.006528659962973451,-2.9350681341007685,0.003334744551056666,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-2,y_leads_x,-0.017574259402230386,-12.646308829526284,1.1725550772713337e-36,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
-1,y_leads_x,-0.04198742706347916,-8.173745947151192,2.9895900400979996e-16,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
1,x_leads_y,-0.043826377015468175,-9.826360426436104,8.669545708597907e-23,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
2,x_leads_y,-0.01716972528393031,-17.076305173181655,2.227875031665232e-65,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
3,x_leads_y,-0.007721586766608542,-1.869876649249857,0.06150094913674099,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
4,x_leads_y,-0.0069900988579647775,-0.6843877829477647,0.4937303285285628,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
5,x_leads_y,0.002017015490268783,0.23252912533281053,0.8161270683231813,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
6,x_leads_y,0.015566333804245438,31.881921368453654,4.755057509824996e-223,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
7,x_leads_y,0.011114013277130663,1.0136462009130423,0.310751603722344,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
8,x_leads_y,-0.0031225823967750204,-0.21967595951250174,0.8261235288624786,0.8742985889445932,58,3,10,35,high,0.717837105059832,0.0028818802376570354,KXECKH276,600s
