direction,cause_col,effect_col,k,coef,t_stat,p_value,p_granger,r_squared,n_obs,n_days,k_used,n_ylags,dof,cov_type,reliability_tier,x_etf,y_etf,bar_freq
y_to_x,ret_y,ret_x,8,-6.416827402021335e-07,-0.6148169867827639,0.5386755898463264,0.0,0.148872837978824,45659,15,10,3,45631,cluster_by_day,high,VIS,VAW,5s
y_to_x,ret_y,ret_x,9,1.0129613561116195e-06,0.7428259796358648,0.4575870444415,0.0,0.148872837978824,45659,15,10,3,45631,cluster_by_day,high,VIS,VAW,5s
y_to_x,ret_y,ret_x,10,-3.334497162598205e-07,-0.4677565632388384,0.6399586863913886,0.0,0.148872837978824,45659,15,10,3,45631,cluster_by_day,high,VIS,VAW,5s
x_to_y,ret_x,ret_y,1,1.4581512780836654e-05,7.727150628698689,1.0998048369255464e-14,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,2,8.084843181249753e-08,0.07965369708225331,0.9365126867552264,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,3,2.161666703399205e-06,2.8515018631284126,0.004351323125993552,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,4,-7.175885527611616e-08,-0.1519448774749921,0.8792304120953889,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,5,1.4606337736225483e-06,3.1130534206334888,0.0018516249888789497,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,6,2.8640575217184835e-07,0.6031824763155906,0.546387303944389,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,7,-2.4210677430982193e-07,-0.45921114312280725,0.6460825493372795,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,8,3.29774189015166e-08,0.04241112605159474,0.9661709590240859,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,9,1.050176914765248e-06,0.6353151475767953,0.5252228962832748,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,10,1.4150680479138893e-06,3.1618114960612727,0.0015679102526915496,2.86772042485683e-310,0.13132701499356925,58290,15,10,2,58263,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,1,2.0350315516383582e-05,6.148471586562307,7.823313809900067e-10,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,2,-2.498582335033832e-06,-3.278163906440918,0.0010448470653597142,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,3,2.64086410513468e-06,2.9305779774861627,0.0033833206857995287,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,4,-5.924666535582175e-07,-1.4624290530125088,0.14362367283693803,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,5,3.0360498938239503e-06,4.684283552086573,2.80940867198449e-06,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,6,3.5495294534300904e-07,0.6896003425743022,0.49044555189214456,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,7,-8.613395574573397e-08,-0.14557685609491025,0.8842554394785326,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,8,-1.165115636359523e-06,-1.3711000990810265,0.170343754103783,9.054615327221738e-211,0.12902842326746766,58290,15,10,1,58264,cluster_by_day,high,VIS,VCR,5s
