k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
0,contemp,0.04628600897079028,1.2218781416515758,0.2217537125799578,0.0009818109245631756,235,124,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.3427102830781166
1,kalshi_leads_etf,-0.09088544638836156,-2.1560964355664733,0.031076135782810356,0.0037871067938007874,206,109,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.08804905138462933
2,kalshi_leads_etf,-0.008173134974030499,-0.31126825334107844,0.7555966994902532,3.225737900014458e-05,182,100,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.8562285769687041
3,kalshi_leads_etf,-0.15443141254754442,-2.9577424408291875,0.0030990094252707034,0.011392006706243962,163,91,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.017561053409867317
4,kalshi_leads_etf,-0.045931750833919774,-1.5342286366568894,0.1249734149682062,0.001134380438403526,147,83,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.22138497160825538
5,kalshi_leads_etf,-0.06036937743652454,-1.8068805599712143,0.07078090423238861,0.0020055405216335975,132,77,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.1504094214938258
6,kalshi_leads_etf,0.14564422578724162,1.5132094921199173,0.13022645388720905,0.010639455298520506,118,71,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.22138497160825538
7,kalshi_leads_etf,0.0879072268909415,1.985175011346508,0.04712500347560724,0.0032556220216918286,106,63,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.11444643701218901
8,kalshi_leads_etf,0.01753094832763402,0.2367243326641934,0.8128706566820074,0.00013999582263324317,95,58,calendar,10min,8,241,ELECTION_trump_fav,VDC,6,0.8562285769687041
-8,etf_leads_kalshi,-0.11467522379474122,-3.1337638988623278,0.0017257965557958106,0.004790241740316947,228,107,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.004889756908088129
-7,etf_leads_kalshi,-0.06077252639634095,-4.1159759490794405,3.8554451062665826e-05,0.0012958791114496826,242,117,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.00016385641701632976
-6,etf_leads_kalshi,0.03890800360293833,1.140181359111161,0.25421075190485565,0.0005402597505836937,256,126,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.3324294447986574
-5,etf_leads_kalshi,0.051477609911734716,1.6621755118562522,0.09647758851333772,0.0009107701115579347,270,134,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.18223544496963792
-4,etf_leads_kalshi,-0.06288030051954352,-1.3256101136747027,0.18496887448373478,0.0013848298403681403,286,141,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.28586098783849917
-3,etf_leads_kalshi,0.03331263637261689,1.0905616807700667,0.27546579856074904,0.0004186332535520698,305,152,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.33449418396662384
-2,etf_leads_kalshi,0.022127087294649506,0.5089686326668912,0.610774210933582,0.00019873290573990676,325,163,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.610774210933582
-1,etf_leads_kalshi,-0.03197027622472627,-1.477568710986232,0.1395232543664659,0.000444912003544351,350,176,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.237189532422992
0,contemp,0.0727898531853704,4.05476909844368,5.018384925969683e-05,0.0023789327416243733,379,197,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.00017062508748296923
1,kalshi_leads_etf,-0.04349293154981795,-0.8620888400338402,0.3886386320925578,0.0009094703812175808,350,179,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.41292854659834266
2,kalshi_leads_etf,0.11387955103057322,3.0217761416475177,0.0025129631434940587,0.006359206269209383,325,167,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.006102910491342714
3,kalshi_leads_etf,-0.0760426007891219,-5.9837667120953295,2.180355407468428e-09,0.00298225529510876,305,158,event,30s,8,391,ELECTION_trump_fav,VDC,6,3.7066041926963277e-08
4,kalshi_leads_etf,-0.07280210992447715,-4.9662699370458325,6.825293565746848e-07,0.0029082025122944,286,150,event,30s,8,391,ELECTION_trump_fav,VDC,6,3.867666353923213e-06
5,kalshi_leads_etf,0.0613607421110554,1.2523297967022344,0.21044971568944915,0.0021836401458286137,270,141,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.2981370972267196
6,kalshi_leads_etf,-0.038680857698423714,-5.737885460374189,9.586591130083486e-09,0.0008944158579277106,256,135,event,30s,8,391,ELECTION_trump_fav,VDC,6,8.148602460570963e-08
7,kalshi_leads_etf,0.017193434536394676,0.9492035808783996,0.3425170806821254,0.00018482542773645694,242,131,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.38818602477307546
8,kalshi_leads_etf,-0.05158363901572085,-1.862214893577584,0.06257280593013587,0.0017255167207382849,228,125,event,30s,8,391,ELECTION_trump_fav,VDC,6,0.1329672126015387
-8,etf_leads_kalshi,0.046408595752141735,1.5364259400944122,0.12443394875505598,0.0015463647085809384,96,57,calendar,10min,8,241,ELECTION_trump_fav,VDE,6,0.26442214110449397
-7,etf_leads_kalshi,-0.05513624070251771,-1.6902556349237834,0.0909790587708707,0.0019515745696913056,108,65,calendar,10min,8,241,ELECTION_trump_fav,VDE,6,0.22094914272925742
-6,etf_leads_kalshi,0.11891356373386883,6.9420389676343826,3.864805655526794e-12,0.008548330319864461,121,72,calendar,10min,8,241,ELECTION_trump_fav,VDE,6,6.57016961439555e-11
-5,etf_leads_kalshi,0.16177808434142488,4.803246880706106,1.5611320326636617e-06,0.014604838680968735,135,80,calendar,10min,8,241,ELECTION_trump_fav,VDE,6,8.846414851760749e-06
-4,etf_leads_kalshi,-0.05865355852917575,-1.0672605704546647,0.28585418778907656,0.0017641890470824206,150,92,calendar,10min,8,241,ELECTION_trump_fav,VDE,6,0.38823528476809926
-3,etf_leads_kalshi,-0.009754344879739411,-0.19640902488518477,0.8442900329970575,4.5443015734503156e-05,167,102,calendar,10min,8,241,ELECTION_trump_fav,VDE,6,0.870560509483771
