group,etf,mode,spec,direction,K,n_ylags,wald_chi2,wald_df,p_value,n_obs,n_days,n_members,n_active,cov_type
GAS_above,VPU,calendar,linear,kalshi->etf,4,1,21.093415964114538,4,0.00030344578109345853,706,25,4,20,hac-panel
GAS_above,VPU,calendar,linear,etf->kalshi,4,1,3.5034377217653545,4,0.4773558238957639,706,25,4,697,hac-panel
APPROVAL_strength,VAW,calendar,linear,kalshi->etf,4,1,4.994053826042099,4,0.28790815414184995,587,31,4,12,hac-panel
APPROVAL_strength,VAW,calendar,linear,etf->kalshi,4,0,2.071665731087433,4,0.7225794787610685,587,31,4,570,hac-panel
APPROVAL_strength,VCR,calendar,linear,kalshi->etf,4,1,5.634735855088849,4,0.22813749886176626,587,31,4,12,hac-panel
APPROVAL_strength,VCR,calendar,linear,etf->kalshi,4,0,4.69629097616477,4,0.3199025434867377,587,31,4,580,hac-panel
APPROVAL_strength,VFH,calendar,linear,kalshi->etf,4,1,0.8354788824514074,4,0.9336293314756763,587,31,4,12,hac-panel
APPROVAL_strength,VFH,calendar,linear,etf->kalshi,4,0,5.2875769145234655,4,0.25904213894370887,587,31,4,574,hac-panel
APPROVAL_strength,VGT,calendar,linear,kalshi->etf,4,1,8.317317615337391,4,0.08062212342478432,601,31,4,12,hac-panel
APPROVAL_strength,VGT,calendar,linear,etf->kalshi,4,0,4.637088251194819,4,0.32660037337390885,601,31,4,586,hac-panel
APPROVAL_strength,VHT,calendar,linear,kalshi->etf,4,1,4.760572408145606,4,0.31275791493747157,593,31,4,12,hac-panel
APPROVAL_strength,VHT,calendar,linear,etf->kalshi,4,0,2.768265762582896,4,0.5973229274415071,593,31,4,579,hac-panel
APPROVAL_strength,VIS,calendar,linear,kalshi->etf,4,0,4.425497146629494,4,0.3514732232409464,587,31,4,12,hac-panel
APPROVAL_strength,VIS,calendar,linear,etf->kalshi,4,0,3.809032589656559,4,0.4324669264401927,587,31,4,577,hac-panel
APPROVAL_strength,VNQ,calendar,linear,kalshi->etf,4,1,4.218735457647437,4,0.37721184513069267,601,31,4,12,hac-panel
APPROVAL_strength,VNQ,calendar,linear,etf->kalshi,4,0,0.92928312508613,4,0.9203226009324768,601,31,4,565,hac-panel
APPROVAL_strength,VOX,calendar,linear,kalshi->etf,4,1,12.328692113997738,4,0.015067287604548604,589,31,4,12,hac-panel
APPROVAL_strength,VOX,calendar,linear,etf->kalshi,4,0,2.7148815804002644,4,0.6066130500680851,589,31,4,571,hac-panel
