k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,mean_window_sec,x_ticker,y_ticker
-2,y_leads_x,0.0016942045619713706,12.866478857773906,6.949889078173824e-38,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-1,y_leads_x,0.001662207812075686,8.054208681127003,7.999463877313852e-16,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
0,contemporaneous,-0.0008347811011646189,-6.522887010482498,6.89668176642497e-11,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
1,x_leads_y,0.00038169526066410096,3.9094634620827686,9.250134473533204e-05,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
2,x_leads_y,0.00017722713548091435,2.123020442045504,0.03375213890889278,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
3,x_leads_y,0.00028315781279526303,7.27845381509062,3.376677906951359e-13,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
4,x_leads_y,0.00018436111868037677,1.2519491532647777,0.210588392357675,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
5,x_leads_y,9.615288460093998e-05,0.671336088049271,0.5020064497886909,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
6,x_leads_y,7.425921428551112e-06,0.09371699223093792,0.925333971837078,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
7,x_leads_y,0.0015405522151203058,5.83295701561323,5.445359985060136e-09,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
8,x_leads_y,0.0005186139942168369,5.9956511595430975,2.0267167041566736e-09,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
9,x_leads_y,0.0005193617574526084,10.074053540598534,7.19501568115242e-24,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
10,x_leads_y,0.0001421993014020516,0.6696857641506582,0.5030581285468549,0.5342781248275476,59,3,,FEDDECISION-24SEP-C25,RATECUT-24SEP18
-10,y_leads_x,-0.0007413377020932573,-1.0333511964522017,0.3014395765625154,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-9,y_leads_x,-0.0012563588346993803,-1.618023484958179,0.10565753654557253,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-8,y_leads_x,-0.0013599753475678942,-1.502700736029683,0.13291623284698825,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-7,y_leads_x,-0.00029564906313359486,-0.5428105107960453,0.5872602756069238,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-6,y_leads_x,-0.00029041347428748683,-0.6072447674637432,0.5436884867949874,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-5,y_leads_x,9.479999002492829e-05,0.09000785762411745,0.9282809706949293,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-4,y_leads_x,-0.0009028626498994269,-1.6056805267724987,0.1083441220555548,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-3,y_leads_x,0.000138062032602304,0.18325573430133946,0.8545973650738183,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-2,y_leads_x,-0.000178386402475857,-0.26895050509525603,0.7879677708669554,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
-1,y_leads_x,-0.0008901519147672326,-1.189111716232315,0.2343957085299151,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
0,contemporaneous,-0.0015863731123130788,-1.349354996236964,0.17722296866366793,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
1,x_leads_y,-7.200861862134296e-05,-0.13504926328885908,0.8925729245958957,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
2,x_leads_y,0.00013714897066389054,0.13014151985614308,0.896454461337502,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
3,x_leads_y,-5.299059403915548e-05,-0.054319389192406614,0.9566807020161315,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
4,x_leads_y,-0.0015352242398354535,-1.9437160510473743,0.05192970194064158,0.11912145878633384,1959,46,,KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0
