contract_ticker,etf,direction,horizon_sec,n_events,coef,t_stat,p_value,r_squared,r2_daily_screen,contract_title
FEDDECISION-24SEP-C25,VOX,kalshi_leads_etf,60,1047,-0.0009372152242421781,-2.169615387374208,0.030260800124812297,0.00448432743000593,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,etf_leads_kalshi,60,1050,-1.0480220503543303,-0.576332586444838,0.5645141528490007,0.0003168454265829457,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,kalshi_leads_etf,120,1047,-0.0007347779420843342,-1.3232580147968267,0.18603903359358892,0.0016728063828254092,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,etf_leads_kalshi,120,1049,-0.7693220833101193,-0.5283309216761325,0.5973816368673801,0.0002665321535143539,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,kalshi_leads_etf,300,1044,-0.00032482493186663516,-0.35699120042422783,0.7211706757706355,0.00012229091371773748,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,etf_leads_kalshi,300,1043,-0.32940496339447073,-0.3288469584094461,0.7423375097015723,0.00010387040295511962,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,kalshi_leads_etf,5,1051,-0.0001340942922931458,-1.2321882188695281,0.21815489416740558,0.0014452749888731464,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,etf_leads_kalshi,5,1051,-1.9071565822408623,-0.17896512007996312,0.8579996482780661,3.0531493161900514e-05,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,kalshi_leads_etf,10,1051,-0.00017353215855886822,-1.1318293996736566,0.25796482771145957,0.0012197095290431559,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,etf_leads_kalshi,10,1051,-5.830401196636487,-0.8385049190025721,0.40193820815312487,0.0006697993990446571,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,kalshi_leads_etf,30,1048,-0.0004824830963407699,-1.7117977474908752,0.08723037238571145,0.0027935618445987798,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,etf_leads_kalshi,30,1051,-2.2366683960203124,-0.7146269060399015,0.4749986099690332,0.0004865997258688415,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,kalshi_leads_etf,60,1047,-0.0008727102085257751,-2.1904425598159962,0.02871251097265109,0.004570439676393145,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VPU,etf_leads_kalshi,60,1050,-3.7297965715836603,-1.6316182422449854,0.10306036616241412,0.002533809766779971,0.4196610274034253,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
