k_lag,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,n_members_used,n_params,n_active,n_ylags,group,etf,mode,K_chosen,n_active_events,n_members,p_fdr
9,kalshi_leads_etf,-2.0487433708994885e-05,-0.7824379880615634,0.43395721587149827,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
10,kalshi_leads_etf,1.3816574280586231e-05,0.5991890496662001,0.5490468241532922,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-10,etf_leads_kalshi,-3.290188057420743e-05,-0.8692850206639198,0.38469125396557313,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.7842615875707953
-9,etf_leads_kalshi,1.0919777462678682e-05,0.5021598741734378,0.6155550659269708,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.8617770922977591
-8,etf_leads_kalshi,2.8782270251749474e-06,0.07766846083506,0.9380917829026533,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.9663208957269259
-7,etf_leads_kalshi,-1.7912973656994376e-05,-1.151934683390139,0.249347914598813,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.748043743796439
-6,etf_leads_kalshi,-1.0512333535654355e-05,-0.32985393125104684,0.7415103345227514,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.9159833544104576
-5,etf_leads_kalshi,-7.975744521260106e-06,-0.2530970686584827,0.8001932040240827,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.9335587380280965
-4,etf_leads_kalshi,-1.2213449677998554e-05,-0.4384428853241649,0.6610652643686974,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.8676481594839154
-3,etf_leads_kalshi,4.727365967592176e-05,0.911016589638797,0.3622866327201756,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.7842615875707953
-2,etf_leads_kalshi,6.446892804411988e-05,2.0686883619625043,0.03857534001517937,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.4050410701593834
-1,etf_leads_kalshi,-3.958542140631256e-05,-1.2700299578705039,0.20407395912914428,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.714258856952005
0,contemp,-2.6645544315324008e-05,-0.5303952602860894,0.5958379115343304,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.8617770922977591
1,kalshi_leads_etf,8.297900147430064e-07,0.04222303993106889,0.9663208957269259,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.9663208957269259
2,kalshi_leads_etf,-4.031042754856836e-05,-2.130715862481309,0.03311255747337345,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.4050410701593834
3,kalshi_leads_etf,1.2340115299904012e-05,0.5746279206979381,0.565542964830703,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.8617770922977591
4,kalshi_leads_etf,1.7993546705362207e-05,0.8224801337829921,0.41080368872755946,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.7842615875707953
5,kalshi_leads_etf,-1.0321768949995506e-06,-0.05376684210024674,0.9571209274607979,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.9663208957269259
6,kalshi_leads_etf,1.0154337846209001e-05,0.677505916453943,0.49808501750786716,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.8617770922977591
7,kalshi_leads_etf,2.5263142501914313e-05,1.498115525984311,0.13410323790847636,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.5717525693036605
8,kalshi_leads_etf,-1.0848729122224761e-05,-1.043623471676011,0.2966596290731085,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.7787315263169099
9,kalshi_leads_etf,2.417387358307897e-05,1.4903525415086916,0.13613156411991914,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.5717525693036605
10,kalshi_leads_etf,2.775050786537866e-05,1.7533850075802364,0.07953594270202131,0.06181329722517126,566,26,3,25,343,1,FOMC_easing,VDC,event,10,1905,5,0.5567515989141493
-10,etf_leads_kalshi,-0.00013316981774339038,-1.6971773898640319,0.08966312841935752,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.5891197887624088
-9,etf_leads_kalshi,-9.76598599153298e-07,-0.02680262216028619,0.9786171617891177,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.9786171617891177
-8,etf_leads_kalshi,-8.937903978884224e-05,-2.276552378488917,0.022812969396725082,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.444063937209564
-7,etf_leads_kalshi,-1.3687673991086062e-05,-0.22364077458373804,0.8230368336056729,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.9602096392066185
-6,etf_leads_kalshi,-3.713589010085232e-05,-0.7675198961598323,0.44277246838469664,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.7152478335445099
-5,etf_leads_kalshi,-4.5903980460870164e-05,-1.179139620799787,0.23834258401666752,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.5891197887624088
-4,etf_leads_kalshi,-9.961946295274372e-07,-0.029347950323440834,0.9765870845265073,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.9786171617891177
-3,etf_leads_kalshi,0.00013654571608640143,1.3705485236831925,0.17051573915398832,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.5891197887624088
-2,etf_leads_kalshi,8.516216935245904e-05,1.1443466366089166,0.25247990946960375,0.0645328031058856,566,26,3,24,343,0,FOMC_easing,VDE,event,10,1905,5,0.5891197887624088
