k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
4,kalshi_leads_etf,-0.044538572120171475,-1.46610564167333,0.1426195090047873,0.0010873163645163109,155,87,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.24245316530813837
5,kalshi_leads_etf,-0.06437555536826813,-2.186548441272879,0.028775504723327735,0.0023038476289154453,140,79,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.06988336861379593
6,kalshi_leads_etf,0.13082895670755962,1.3128217238274074,0.18924302805644366,0.00877951088673068,125,74,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.2874225716804978
7,kalshi_leads_etf,0.0872503642342179,1.9501601212710087,0.0511570372623656,0.003243199381625539,113,69,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.1087087041825269
8,kalshi_leads_etf,0.008040162641358092,0.09723888330466235,0.9225366899274267,2.9909524995264114e-05,101,61,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.9389691602374151
-8,etf_leads_kalshi,-0.02104334382185174,-0.3278028833743346,0.7430607070655152,0.0002919150869779008,132,71,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.7895020012571099
-7,etf_leads_kalshi,0.01655395584780427,0.4477200119539262,0.654355277132975,0.00016673326106453334,144,76,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.7416026474173717
-6,etf_leads_kalshi,-0.12058520071679642,-2.314561766372703,0.020636927311853445,0.008268516633663792,157,82,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.04385347053768857
-5,etf_leads_kalshi,0.06397756266308534,0.8975182980791798,0.36944241388572985,0.002233475778404048,172,93,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.5233767530047839
-4,etf_leads_kalshi,0.025378431438569084,0.58349443132066,0.5595605047067471,0.0003341895813873119,188,103,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.6990548515796949
-3,etf_leads_kalshi,-0.08045967882359176,-3.433158365788195,0.0005965935223951829,0.0031227448534077995,206,116,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.0025355224701795274
-2,etf_leads_kalshi,0.09337128101535566,4.694376421619448,2.674212125749625e-06,0.004050199782673958,226,125,event,event(active),8,289,ELECTION_trump_fav,VDC,6,1.5153868712581207e-05
-1,etf_leads_kalshi,0.12814806806817566,4.85187112527034,1.223020896459824e-06,0.008154726427162418,251,135,event,event(active),8,289,ELECTION_trump_fav,VDC,6,1.0395677619908504e-05
0,contemp,-0.03252450158452461,-1.291533060531444,0.1965188987914599,0.00048063596612990533,287,151,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.36578055365726825
1,kalshi_leads_etf,0.0003529476415908711,0.015731898748591492,0.9874482786216268,5.994851626223152e-08,251,128,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.9874482786216268
2,kalshi_leads_etf,0.05231740115300868,2.8738009404346907,0.004055644908056017,0.001316964398379361,226,121,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.013789192687390458
3,kalshi_leads_etf,-0.07069244634669632,-1.1831420621202113,0.23675285023000836,0.002466359377667482,206,110,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.36589076853728564
4,kalshi_leads_etf,-0.13437352975456696,-7.696956187861182,1.3934564757864568e-14,0.009005838960389756,188,100,event,event(active),8,289,ELECTION_trump_fav,VDC,6,2.368876008836977e-13
5,kalshi_leads_etf,-0.12974824617681144,-2.6176319722180583,0.008854224265297377,0.008588988694226751,172,91,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.0250869687516759
6,kalshi_leads_etf,0.12468531921868307,2.3663610276303753,0.01796391714251555,0.007451100420041934,157,83,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.04362665591753777
7,kalshi_leads_etf,0.023607172976017502,0.5596880559158692,0.5756922307126899,0.00024182768457148285,144,78,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.6990548515796949
8,kalshi_leads_etf,0.11787283792821865,1.2394874555170696,0.21516503156309896,0.005841732900718877,132,70,event,event(active),8,289,ELECTION_trump_fav,VDC,6,0.36578055365726825
-8,etf_leads_kalshi,0.060916790505841124,1.7901677707322778,0.07342694458746403,0.002692516142889123,104,62,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.17832257971241267
-7,etf_leads_kalshi,-0.052120647300877884,-1.236098416913931,0.2164219832690948,0.0017529307515813386,116,70,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.33521178614902625
-6,etf_leads_kalshi,0.09656693879598155,5.777532737470041,7.58039758295539e-09,0.005760981229074202,129,77,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,1.2886675891024162e-07
-5,etf_leads_kalshi,0.15836313809944913,5.137030565174359,2.791135737370718e-07,0.014302041224659945,144,86,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,2.3724653767651104e-06
-4,etf_leads_kalshi,-0.06557445528646448,-1.2887040342165836,0.19750099945211597,0.0022265990653744794,160,98,calendar,10min,8,261,ELECTION_trump_fav,VDE,6,0.33521178614902625
