k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,etf,bar_freq
7,x_leads_y,6.407594802546806e-07,0.9187180917898267,0.35824304432931153,0.05237364098549624,72278,17,VCR,5s
8,x_leads_y,-2.048052218816657e-08,-0.03390254320018047,0.972954865174996,0.05237364098549624,72278,17,VCR,5s
9,x_leads_y,3.158169192812685e-07,0.5100533910861951,0.6100140573765434,0.05237364098549624,72278,17,VCR,5s
10,x_leads_y,-9.086951989211848e-08,-0.23410718464599095,0.8149017683650503,0.05237364098549624,72278,17,VCR,5s
-10,y_leads_x,-1.2059936916473655e-07,-0.14669108251012625,0.8833758575852195,0.004347167730342383,74527,17,VDE,5s
-9,y_leads_x,1.8465727612843127e-07,0.3275590553503177,0.7432450844008969,0.004347167730342383,74527,17,VDE,5s
-8,y_leads_x,-1.1316472837896437e-06,-2.7168099509817836,0.006591444477184827,0.004347167730342383,74527,17,VDE,5s
-7,y_leads_x,-8.879146818938189e-07,-1.074711760562768,0.2825037967410762,0.004347167730342383,74527,17,VDE,5s
-6,y_leads_x,1.2248922866522127e-06,2.5963595917895184,0.009421740437134082,0.004347167730342383,74527,17,VDE,5s
-5,y_leads_x,1.7383635325526786e-06,2.894164305561506,0.0038016917272724634,0.004347167730342383,74527,17,VDE,5s
-4,y_leads_x,-1.0436056461655473e-06,-1.4336709907899918,0.15166617429697635,0.004347167730342383,74527,17,VDE,5s
-3,y_leads_x,-2.7079043493585613e-06,-3.954684552476866,7.663569693554335e-05,0.004347167730342383,74527,17,VDE,5s
-2,y_leads_x,-8.245587304255884e-07,-0.9063650341817846,0.3647426736243913,0.004347167730342383,74527,17,VDE,5s
-1,y_leads_x,4.2100170390487595e-06,3.424608381344811,0.0006156862127995526,0.004347167730342383,74527,17,VDE,5s
1,x_leads_y,4.1839462043015575e-06,3.3954331505433664,0.0006852010422922804,0.004347167730342383,74527,17,VDE,5s
2,x_leads_y,-1.0090140621486324e-06,-0.989882846047779,0.3222313849333728,0.004347167730342383,74527,17,VDE,5s
3,x_leads_y,-2.5650039853040488e-06,-3.1317247121478844,0.0017378273923987103,0.004347167730342383,74527,17,VDE,5s
4,x_leads_y,-6.367775713465348e-07,-0.8571820114331334,0.3913443023868264,0.004347167730342383,74527,17,VDE,5s
5,x_leads_y,1.4920168457157838e-06,2.099242061795199,0.0357955679042294,0.004347167730342383,74527,17,VDE,5s
6,x_leads_y,1.569937569911088e-06,2.781426276563,0.005412062140751298,0.004347167730342383,74527,17,VDE,5s
7,x_leads_y,-9.95789274612067e-07,-1.2730268834941085,0.20300850237222856,0.004347167730342383,74527,17,VDE,5s
8,x_leads_y,-1.1090918056023094e-06,-2.441600059893993,0.014622335588367124,0.004347167730342383,74527,17,VDE,5s
9,x_leads_y,5.843511566766558e-07,0.9429631332369593,0.345699760446309,0.004347167730342383,74527,17,VDE,5s
10,x_leads_y,-3.5171193095170105e-07,-0.8341983763848587,0.40416920592333994,0.004347167730342383,74527,17,VDE,5s
-10,y_leads_x,2.1373814080808974e-07,0.4593857312630256,0.6459571929429873,0.0061123319025496725,75224,17,VOX,5s
-9,y_leads_x,-1.559126769035152e-07,-0.22391620111495764,0.822822509119481,0.0061123319025496725,75224,17,VOX,5s
-8,y_leads_x,-2.1873025492220812e-07,-0.5014765699239321,0.6160357633863673,0.0061123319025496725,75224,17,VOX,5s
-7,y_leads_x,3.003596303978081e-07,0.467417258709553,0.6402013771184427,0.0061123319025496725,75224,17,VOX,5s
-6,y_leads_x,-1.2376045397462024e-07,-0.2927257664835772,0.7697317733557052,0.0061123319025496725,75224,17,VOX,5s
-5,y_leads_x,4.670805644476349e-07,0.9440844759918376,0.34512648162864523,0.0061123319025496725,75224,17,VOX,5s
-4,y_leads_x,2.081557227141586e-08,0.06142714013104572,0.9510190384680726,0.0061123319025496725,75224,17,VOX,5s
-3,y_leads_x,-1.2188804683123226e-06,-3.616214812997127,0.00029894232791728893,0.0061123319025496725,75224,17,VOX,5s
-2,y_leads_x,6.046127544280241e-07,1.2304205481881365,0.21853966254822899,0.0061123319025496725,75224,17,VOX,5s
-1,y_leads_x,4.824470310064576e-06,4.937342958721255,7.919413158614486e-07,0.0061123319025496725,75224,17,VOX,5s
1,x_leads_y,4.8922742615441935e-06,5.052965611085444,4.350022439818529e-07,0.0061123319025496725,75224,17,VOX,5s
2,x_leads_y,5.544297900254171e-07,1.107177212559257,0.26821731769052637,0.0061123319025496725,75224,17,VOX,5s
3,x_leads_y,-1.2611144248987861e-06,-3.6142294829738484,0.00030124215853978033,0.0061123319025496725,75224,17,VOX,5s
4,x_leads_y,-1.8634178592636711e-07,-0.45458149533984943,0.6494103499524744,0.0061123319025496725,75224,17,VOX,5s
5,x_leads_y,4.374772290230478e-07,0.7377053094059349,0.4606935450178513,0.0061123319025496725,75224,17,VOX,5s
6,x_leads_y,-1.1772794494014589e-07,-0.2632845855701797,0.7923312396290522,0.0061123319025496725,75224,17,VOX,5s
7,x_leads_y,2.7489660378853147e-07,0.4140803778354663,0.6788152426700691,0.0061123319025496725,75224,17,VOX,5s
8,x_leads_y,-2.997913996868727e-07,-0.6731261696500834,0.5008670262864181,0.0061123319025496725,75224,17,VOX,5s
9,x_leads_y,-1.824791464450848e-07,-0.22869991591812086,0.8191021601452383,0.0061123319025496725,75224,17,VOX,5s
10,x_leads_y,8.687472624212297e-07,1.1678060797827636,0.24288499516437723,0.0061123319025496725,75224,17,VOX,5s
-10,y_leads_x,-1.497944879662936e-07,-0.3092099596449261,0.7571618181983792,0.006205148682059791,78769,17,VGT,5s
-9,y_leads_x,-6.973020547798513e-07,-1.0700696433079169,0.28458796204312353,0.006205148682059791,78769,17,VGT,5s
-8,y_leads_x,3.61933047874607e-08,0.054413632189388834,0.9566056180294641,0.006205148682059791,78769,17,VGT,5s
-7,y_leads_x,-2.6000978044213675e-07,-0.3274487581234147,0.7433284935518478,0.006205148682059791,78769,17,VGT,5s
-6,y_leads_x,1.3313504193766647e-06,2.3133961967162286,0.020700866008047387,0.006205148682059791,78769,17,VGT,5s
-5,y_leads_x,1.0351555160420031e-06,1.6927729446864554,0.0904986944113672,0.006205148682059791,78769,17,VGT,5s
-4,y_leads_x,-2.0451213489048704e-08,-0.038553214990614544,0.9692466035654389,0.006205148682059791,78769,17,VGT,5s
-3,y_leads_x,-7.93183684145146e-07,-1.0278361362276762,0.30402691481704847,0.006205148682059791,78769,17,VGT,5s
-2,y_leads_x,-1.801538631776532e-08,-0.0340652763887972,0.9728250978326005,0.006205148682059791,78769,17,VGT,5s
-1,y_leads_x,6.263885327486851e-06,8.837708296564232,9.770197027046996e-19,0.006205148682059791,78769,17,VGT,5s
1,x_leads_y,6.251438312221021e-06,8.750135116354773,2.1309744467065038e-18,0.006205148682059791,78769,17,VGT,5s
2,x_leads_y,8.515117073274489e-09,0.015921767068215718,0.9872968045934902,0.006205148682059791,78769,17,VGT,5s
3,x_leads_y,-7.586870327565041e-07,-1.005433689233296,0.31468806456709575,0.006205148682059791,78769,17,VGT,5s
4,x_leads_y,5.936406475750587e-08,0.11208934266382597,0.9107525674950656,0.006205148682059791,78769,17,VGT,5s
5,x_leads_y,9.923498980084663e-07,1.614397743064876,0.10644118095852136,0.006205148682059791,78769,17,VGT,5s
6,x_leads_y,1.320125884058306e-06,2.1632140643401594,0.030524719022552015,0.006205148682059791,78769,17,VGT,5s
7,x_leads_y,-6.76580121458243e-08,-0.08381926211054615,0.9332001329621078,0.006205148682059791,78769,17,VGT,5s
8,x_leads_y,1.714262534504719e-07,0.2643527794283027,0.7915080941328607,0.006205148682059791,78769,17,VGT,5s
9,x_leads_y,-4.454744613007406e-07,-0.6836231312840331,0.49421317430069645,0.006205148682059791,78769,17,VGT,5s
10,x_leads_y,-2.1975483822124166e-07,-0.51429521926649,0.6070456036519755,0.006205148682059791,78769,17,VGT,5s
-10,y_leads_x,-1.8785115785325966e-07,-0.32829986952906465,0.7426849428150146,0.06650734520713586,61433,17,VDC,5s
-9,y_leads_x,9.478239819103913e-07,1.662674544307642,0.09637760040071576,0.06650734520713586,61433,17,VDC,5s
-8,y_leads_x,-3.382395656881545e-07,-0.922137055355491,0.35645709061192654,0.06650734520713586,61433,17,VDC,5s
-7,y_leads_x,1.9510508818627308e-07,0.3267993273286615,0.7438196682380294,0.06650734520713586,61433,17,VDC,5s
