k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_etf,y_etf,bar_freq
-7,y_leads_x,1.2683167038059147e-06,2.545674733308425,0.010906676312811297,0.17127819661816202,70118,17,VFH,VIS,5s
-6,y_leads_x,9.28560829723351e-07,2.167848883597861,0.030170186122183362,0.17127819661816202,70118,17,VFH,VIS,5s
-5,y_leads_x,-2.363180086719465e-07,-0.5085631299143721,0.6110584782193953,0.17127819661816202,70118,17,VFH,VIS,5s
-4,y_leads_x,-2.862688435470624e-07,-0.6010040586875008,0.5478372830182151,0.17127819661816202,70118,17,VFH,VIS,5s
-3,y_leads_x,3.392094078472864e-07,0.9929397811683909,0.3207393017341478,0.17127819661816202,70118,17,VFH,VIS,5s
-2,y_leads_x,-3.8231170206243794e-07,-0.5871914210328008,0.5570751534519773,0.17127819661816202,70118,17,VFH,VIS,5s
-1,y_leads_x,3.6470518039558288e-06,6.538537030733505,6.21235047979774e-11,0.17127819661816202,70118,17,VFH,VIS,5s
0,contemporaneous,3.0049164105215643e-05,19.598918464276984,1.5794521456716818e-85,0.17127819661816202,70118,17,VFH,VIS,5s
1,x_leads_y,1.4297948584959697e-05,28.640703292319778,2.0928746694752197e-180,0.17127819661816202,70118,17,VFH,VIS,5s
2,x_leads_y,6.2760160626851e-06,8.758687731954709,1.975365157814063e-18,0.17127819661816202,70118,17,VFH,VIS,5s
3,x_leads_y,3.524635439164422e-06,4.840703224460504,1.2938046873510852e-06,0.17127819661816202,70118,17,VFH,VIS,5s
4,x_leads_y,2.785124579308276e-06,3.7186467993129453,0.00020029288029907918,0.17127819661816202,70118,17,VFH,VIS,5s
5,x_leads_y,2.2238902400888217e-06,3.5344341431624584,0.0004086492567145423,0.17127819661816202,70118,17,VFH,VIS,5s
6,x_leads_y,1.9468561033637215e-06,4.690768553572118,2.7218072040812696e-06,0.17127819661816202,70118,17,VFH,VIS,5s
7,x_leads_y,1.4422395337615437e-06,2.8399753233884946,0.004511702377129862,0.17127819661816202,70118,17,VFH,VIS,5s
8,x_leads_y,1.8814627561160288e-06,3.7885623516435163,0.00015152156689359712,0.17127819661816202,70118,17,VFH,VIS,5s
9,x_leads_y,1.3978165821963916e-06,3.41812118719032,0.0006305502444090099,0.17127819661816202,70118,17,VFH,VIS,5s
10,x_leads_y,6.811622330166959e-07,2.7722112805572703,0.005567688587413933,0.17127819661816202,70118,17,VFH,VIS,5s
-10,y_leads_x,-3.857351967972074e-07,-0.6781682747090669,0.4976650053518149,0.10961292617322582,70118,17,VFH,VCR,5s
-9,y_leads_x,4.855741554652067e-07,1.0998723155207022,0.27138775848326036,0.10961292617322582,70118,17,VFH,VCR,5s
-8,y_leads_x,-1.2849285472264498e-07,-0.27631583074619526,0.7823054978887509,0.10961292617322582,70118,17,VFH,VCR,5s
-7,y_leads_x,-3.895899209021417e-07,-0.7931462496795927,0.42769261937156533,0.10961292617322582,70118,17,VFH,VCR,5s
-6,y_leads_x,6.441269344342962e-07,1.3727666156615725,0.16982491229953567,0.10961292617322582,70118,17,VFH,VCR,5s
-5,y_leads_x,7.279557347954158e-07,1.4819584694539736,0.1383513458060968,0.10961292617322582,70118,17,VFH,VCR,5s
-4,y_leads_x,9.168990696394777e-07,1.8508167191670093,0.06419592495972831,0.10961292617322582,70118,17,VFH,VCR,5s
-3,y_leads_x,4.968869119718843e-07,1.2683246430282162,0.20468204021762393,0.10961292617322582,70118,17,VFH,VCR,5s
-2,y_leads_x,4.1218005336317227e-07,0.726778935524686,0.4673613889956094,0.10961292617322582,70118,17,VFH,VCR,5s
-1,y_leads_x,3.868151333463034e-06,5.5702071299357065,2.5443667126997502e-08,0.10961292617322582,70118,17,VFH,VCR,5s
0,contemporaneous,3.200117045028645e-05,8.611745271173652,7.195659190643959e-18,0.10961292617322582,70118,17,VFH,VCR,5s
1,x_leads_y,1.1987202274099321e-05,6.551451103349581,5.698064588509459e-11,0.10961292617322582,70118,17,VFH,VCR,5s
2,x_leads_y,4.176555460713524e-06,5.052332035827751,4.3644811664642496e-07,0.10961292617322582,70118,17,VFH,VCR,5s
3,x_leads_y,2.0939482062573597e-06,2.638727022397143,0.008321796017527935,0.10961292617322582,70118,17,VFH,VCR,5s
4,x_leads_y,8.674871079963279e-07,1.3432902096395725,0.17917802101833125,0.10961292617322582,70118,17,VFH,VCR,5s
5,x_leads_y,2.2489804471016015e-06,4.214324253840412,2.5052714383444388e-05,0.10961292617322582,70118,17,VFH,VCR,5s
6,x_leads_y,5.572958800171544e-07,0.8486832449018871,0.39605757190362734,0.10961292617322582,70118,17,VFH,VCR,5s
7,x_leads_y,7.015706211626324e-08,0.21237323664703878,0.8318158636139625,0.10961292617322582,70118,17,VFH,VCR,5s
8,x_leads_y,1.0759636199237845e-07,0.3378329897362587,0.7354890477722065,0.10961292617322582,70118,17,VFH,VCR,5s
9,x_leads_y,1.4692412214445104e-06,3.725687077321392,0.0001947839262656281,0.10961292617322582,70118,17,VFH,VCR,5s
10,x_leads_y,1.2546316820010192e-07,0.39910356970502286,0.6898168921009348,0.10961292617322582,70118,17,VFH,VCR,5s
-10,y_leads_x,-3.436513518174433e-07,-0.49263290359921386,0.6222719945599844,0.13782485062086713,70118,17,VFH,VDE,5s
-9,y_leads_x,1.0335073944998012e-06,1.4525447191861822,0.14635020429831552,0.13782485062086713,70118,17,VFH,VDE,5s
-8,y_leads_x,-7.849427279261186e-07,-1.2591934324550815,0.20796047316297706,0.13782485062086713,70118,17,VFH,VDE,5s
-7,y_leads_x,3.3049521526131534e-07,0.3419550667127005,0.7323847075537175,0.13782485062086713,70118,17,VFH,VDE,5s
-6,y_leads_x,1.5054855693025418e-07,0.13353177856379503,0.8937728336422026,0.13782485062086713,70118,17,VFH,VDE,5s
-5,y_leads_x,-6.369639435743819e-07,-0.6422529336986,0.5207089686083015,0.13782485062086713,70118,17,VFH,VDE,5s
-4,y_leads_x,6.13720057782609e-08,0.07106565564635822,0.9433455018592364,0.13782485062086713,70118,17,VFH,VDE,5s
-3,y_leads_x,-2.2937160640984864e-07,-0.37251580441121246,0.7095088471389073,0.13782485062086713,70118,17,VFH,VDE,5s
-2,y_leads_x,1.402564512314005e-06,1.41481117799893,0.1571238658449045,0.13782485062086713,70118,17,VFH,VDE,5s
-1,y_leads_x,6.34271293539836e-06,6.240056255930366,4.374135533909167e-10,0.13782485062086713,70118,17,VFH,VDE,5s
0,contemporaneous,4.77880989958565e-05,46.47376934129106,0.0,0.13782485062086713,70118,17,VFH,VDE,5s
1,x_leads_y,4.552571586270917e-06,3.656028819621905,0.00025615256999680924,0.13782485062086713,70118,17,VFH,VDE,5s
2,x_leads_y,-2.423139028304139e-07,-0.28170219906076854,0.7781718681467983,0.13782485062086713,70118,17,VFH,VDE,5s
3,x_leads_y,-1.6486488815761484e-06,-2.6105474006116367,0.009039744338573937,0.13782485062086713,70118,17,VFH,VDE,5s
4,x_leads_y,-2.2068073433064662e-07,-0.3167295149448508,0.7514488512495339,0.13782485062086713,70118,17,VFH,VDE,5s
5,x_leads_y,2.8408562814161943e-07,0.7399083273999115,0.4593556211852434,0.13782485062086713,70118,17,VFH,VDE,5s
6,x_leads_y,4.890676105818061e-07,0.8744530499627426,0.3818715778976681,0.13782485062086713,70118,17,VFH,VDE,5s
7,x_leads_y,-5.700754524004456e-07,-0.9446433358488817,0.34484099482922903,0.13782485062086713,70118,17,VFH,VDE,5s
8,x_leads_y,-3.328696977231936e-07,-0.5201243951220876,0.6029768763609176,0.13782485062086713,70118,17,VFH,VDE,5s
