k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_ticker,y_ticker,bar_freq
5,x_leads_y,0.0055671980533792045,0.25861165879812137,0.795934886784617,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
6,x_leads_y,0.008577668387374535,0.4844720158810216,0.6280509198753241,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
7,x_leads_y,0.008736922757355794,0.6849253013519757,0.4933910591732219,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
8,x_leads_y,0.010582389795630606,1.0245800748796763,0.3055613700521468,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
9,x_leads_y,-0.0026448569905929108,-0.4700450239683484,0.6383228505019991,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
10,x_leads_y,-0.0019594726380455763,-0.48082017208060573,0.6306443121724923,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-10,y_leads_x,0.004804133372518449,1.8692414727439506,0.061589226708099847,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-9,y_leads_x,-0.005047636353469558,-1.9637723933130202,0.0495564929447754,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-8,y_leads_x,-0.02513824044926485,-10.55812133476541,4.6589250617351805e-26,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-7,y_leads_x,-0.030956777697206735,-4.571424735562868,4.844192816038428e-06,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-6,y_leads_x,-0.000867119316800877,-0.13517255575509518,0.8924754452542483,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-5,y_leads_x,0.014097361341247523,2.3616455779418994,0.018194026958376918,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-4,y_leads_x,0.029694259462038516,3.9558400444206643,7.626618011053103e-05,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-3,y_leads_x,-0.004875329149553816,-1.7189083252371395,0.08563106600400713,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-2,y_leads_x,-0.04352981209294166,-6.153050883114238,7.60064060007407e-10,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-1,y_leads_x,-0.02859464710226168,-3.385732628813501,0.0007098851243276937,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
0,contemporaneous,0.01330436637113068,3.2758393117231592,0.0010534848146926588,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
1,x_leads_y,0.02440429155184413,2.5606488754787224,0.010447688920160115,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
2,x_leads_y,0.017907005543514536,5.123138241366374,3.0049187054941074e-07,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
3,x_leads_y,-0.022780160629010133,-3.4536743828800844,0.0005530046427492268,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
4,x_leads_y,-0.018157848046087593,-2.4089018301038463,0.01600060129484314,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
5,x_leads_y,-0.0027103970026771318,-1.5087940236146975,0.13135142851090098,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
6,x_leads_y,0.015546705059416225,3.119736426048151,0.0018101293108375282,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
7,x_leads_y,0.010090527844515458,3.285719362418985,0.0010172230181342303,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
8,x_leads_y,0.008756075651969114,2.8923709160422857,0.0038234626137748644,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
9,x_leads_y,-0.0093799867844139,-1.626228538875654,0.1039010472125399,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
10,x_leads_y,-0.006080043413677804,-1.1450220256036998,0.25220003355081666,0.5582852690618061,99,11,KXECDJT281,KXFEDDECISION-24DEC-H0,600s
-10,y_leads_x,0.02763427274192467,2.3811220022601276,0.01725999450479123,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-9,y_leads_x,-0.028747802315870655,-16.37663658689891,2.808501450807305e-60,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-8,y_leads_x,-0.016715658117399092,-0.8646741314484605,0.38721767164281484,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-7,y_leads_x,-0.05566205714510444,-1.1480400902301857,0.2509520141602466,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-6,y_leads_x,-0.03918038982723633,-0.7099401814981525,0.47774123165113136,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-5,y_leads_x,-0.048296344743846475,-1.0226687964018286,0.306464469627693,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-4,y_leads_x,-0.03499326133964127,-1.1021875227201698,0.27038015528471937,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
