contract_ticker,etf,mode,bar_freq,bar_sec,is_primary_bar,median_intertrade_sec,K_chosen,k_lag,direction,coef,t_stat,p_value,p_fdr,r_squared,n_obs,n_days,n_params,n_active,n_ylags,n_active_bars,r2_daily_screen,contract_title
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,4,kalshi_leads_etf,4.0535039753269426e-05,2.947894389876919,0.003199463472834398,0.014397585627754792,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,-4,etf_leads_kalshi,-3.584490635675798e-05,-0.5442228141269736,0.5862881542726235,0.6595741735567014,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,-3,etf_leads_kalshi,8.227053502041675e-05,3.6987230682477796,0.00021668686425166658,0.0019501817782649994,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,-2,etf_leads_kalshi,7.464406232002266e-05,1.7783675423900784,0.07534350986004877,0.22603052958014633,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,-1,etf_leads_kalshi,0.0001146334621741852,1.876723832967468,0.06055595439508912,0.22603052958014633,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,0,contemp,-6.0539737915840415e-05,-0.8324827232365737,0.4051365260630184,0.5208898192238808,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,1,kalshi_leads_etf,3.94781401656078e-06,0.08830264361620695,0.9296361378636887,0.9296361378636887,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,2,kalshi_leads_etf,3.991386040070667e-05,0.889892521771898,0.37352359978537175,0.5208898192238808,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,3,kalshi_leads_etf,4.420965422775656e-05,0.8692278423702274,0.38472252147812624,0.5208898192238808,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,10min,600,True,1343.6,4,4,kalshi_leads_etf,-4.358961636500032e-05,-1.098323712453756,0.27206316111356255,0.5208898192238808,0.1960392605910779,149,7,17,13,1,16,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
